Date,FMAC/HPI_AL,FMAC/HPI_AK,FMAC/HPI_AZ,FMAC/HPI_AR,FMAC/HPI_CA,FMAC/HPI_CO,FMAC/HPI_CT,FMAC/HPI_DE,FMAC/HPI_FL,FMAC/HPI_GA,FMAC/HPI_HI,FMAC/HPI_ID,FMAC/HPI_IL,FMAC/HPI_IN,FMAC/HPI_IA,FMAC/HPI_KS,FMAC/HPI_KY,FMAC/HPI_LA,FMAC/HPI_ME,FMAC/HPI_MD,FMAC/HPI_MA,FMAC/HPI_MI,FMAC/HPI_MN,FMAC/HPI_MS,FMAC/HPI_MO,FMAC/HPI_MT,FMAC/HPI_NE,FMAC/HPI_NV,FMAC/HPI_NH,FMAC/HPI_NJ,FMAC/HPI_NM,FMAC/HPI_NY,FMAC/HPI_NC,FMAC/HPI_ND,FMAC/HPI_OH,FMAC/HPI_OK,FMAC/HPI_OR,FMAC/HPI_PA,FMAC/HPI_RI,FMAC/HPI_SC,FMAC/HPI_SD,FMAC/HPI_TN,FMAC/HPI_TX,FMAC/HPI_UT,FMAC/HPI_VT,FMAC/HPI_VA,FMAC/HPI_WA,FMAC/HPI_WV,FMAC/HPI_WI,FMAC/HPI_WY
1998-11-30,93.80137079200001,93.675071304,88.72801128,94.20981774100001,77.885648659,80.864224652,84.517830519,87.333364262,86.32897685299999,87.900696205,92.135708702,94.088077578,87.78705785,93.902418359,92.49652231299999,92.74762712,91.80921969200001,93.277288914,84.719568452,87.739499706,77.106986647,88.241344737,81.220820648,93.31198920799999,89.852383065,91.551231352,95.07804192200001,92.32285683299999,78.420708949,82.88744452899999,97.40519025100001,83.42753238899999,91.82040277600001,95.152046076,92.586952078,92.863858944,93.915048074,91.210771491,81.429316884,90.174126123,90.640935558,93.64818412,87.989062638,95.713122161,86.632704409,86.56642003399999,89.688809187,94.987808446,90.23127358,91.319156435
1998-12-31,93.90018332,93.528214208,89.12897031799999,94.26368528200001,78.039754421,81.488360067,84.71443417399999,87.36638886,86.56314709200001,88.163254792,92.18409387700001,94.46268848700001,87.88807594200001,93.881697102,92.977399318,93.207156881,92.053476156,93.474614315,84.56122492600001,87.93746304700001,77.390871269,88.23614998,81.578158444,93.65871447200001,90.04537272,91.496484664,95.72664899899999,92.327970098,78.733626001,83.216006601,97.364700131,83.88337683399999,91.799939035,94.883909468,92.477760659,93.03722292299999,93.931369776,91.278720409,81.520340458,90.510529479,91.21927535399999,94.21404590700001,88.250224233,95.543281028,86.55111424100001,86.939198083,89.765666474,94.960707255,90.031621512,91.218986486
1999-01-31,93.98744044200001,93.49374304,89.513850222,94.208017738,78.46748446,82.119719025,85.03476496100001,87.63584819799999,86.84227069100001,88.529121401,92.733106516,95.05778800799999,88.050432413,93.722404181,92.795230317,93.331943557,92.358129705,93.502344724,84.686875963,88.375700812,77.77379813600001,88.30577936799999,81.80222122,94.088908251,90.44022755,91.63486481700001,95.608795974,92.33082799299999,78.975172203,83.621240588,97.288296475,84.154316488,92.069667604,95.006655292,92.571661519,92.97022088,94.119747675,91.32493907799999,81.579620369,90.86747157100001,91.70115708899999,94.57324412,88.310957997,95.418035282,86.579520855,87.276338854,90.03207161899999,94.95245936399999,89.852273313,91.204944859
1999-02-28,94.31194984700001,93.73243852899999,89.929753696,94.18427922,79.19343292100001,82.614883312,85.29759325399999,88.125192426,87.306671491,89.065846774,93.35982619299999,95.675242653,88.33772181299999,93.949253496,92.552448966,93.325282122,92.76550640200001,93.716400116,85.179233601,88.680948691,78.406582555,88.785873188,82.172228493,94.45238451799999,90.84306491,91.89655866700001,95.27821302299999,92.491360801,79.369487641,83.805121919,97.405071208,84.418810407,92.488078855,95.471516735,93.039256978,93.126028384,94.591052891,91.429609806,81.667590212,91.26757471799999,92.258436545,95.01751058100001,88.79782099299999,95.695641709,86.7822127,87.671378545,90.785155068,95.06457413,90.230100135,91.346326527
1999-03-31,94.866705578,94.342169809,90.54133779899999,94.320878535,80.179205813,83.221739324,85.782326345,88.70119348700001,87.83699944799999,89.740226281,93.843641365,96.119223831,88.91884074299999,94.42741524799999,92.82399137,93.550465117,93.26731977799999,94.08841023299999,85.930502137,89.03470615,79.304462746,89.58007668200001,83.022526043,94.852206085,91.203487472,92.325523865,95.321957134,92.84931488299999,80.011426945,84.144428205,97.58054455,84.877648575,93.017288659,96.140517285,93.70417770799999,93.67534636,95.213299942,91.89452141299999,82.083778818,91.804870873,92.935965149,95.493448014,89.77641474200001,96.24450837,87.25955831799999,88.18242934700001,91.730133686,95.44464951200001,91.08634641299999,91.88537764200001
1999-04-30,95.36566107700001,95.207184551,91.11105770799999,94.764406435,81.35977386399999,84.114771537,86.821107287,89.40837743700001,88.328721795,90.452344045,94.178649333,96.449620046,89.827782014,94.927221999,93.535698751,94.163760595,93.788532121,94.56232861299999,86.90312366799999,89.72011444700001,80.40246249100001,90.528091422,84.25846182800001,95.433964844,91.62880506299999,92.967772364,95.773246461,93.27393049700001,80.881449145,85.088361335,97.71795797799999,85.637565313,93.649849255,96.80779930799999,94.372039575,94.340640736,95.79700741100001,92.613578144,83.038036613,92.608736685,93.76109968799999,95.79432142200001,90.58489027200001,96.82283542200001,88.073989771,88.899155616,92.57264992200001,96.012972962,92.127842067,92.765444784
1999-05-31,95.796925806,95.927028263,91.569704605,95.394465485,82.551203098,85.350415113,88.09197158299999,90.442949054,88.920636694,91.21433896100001,94.159552678,96.86644979299999,90.73533152,95.541006684,94.32440798200001,94.93556146799999,94.38995948799999,95.17265546,87.971183765,90.429913196,81.675711848,91.56992698299999,85.58783522,96.192199864,92.359600515,93.80892699,96.256953119,93.676354105,81.99958676899999,86.326398995,98.053935083,86.681396846,94.179378136,97.33147473,94.980294341,94.936150122,96.37417014399999,93.418299705,84.202086223,93.48639675700001,94.615852221,96.050053356,91.313978825,97.31390852700001,89.132583591,89.696810445,93.343882655,96.51020971,93.063286845,93.74115879700001
1999-06-30,96.23777549399999,96.363948222,92.07746305399999,95.92398729,83.47573582300001,86.593925969,89.409329995,91.62495522799999,89.67093760899999,91.9131651,93.686734516,97.31815955,91.532722364,96.12551587700001,95.05204449600001,95.482905733,95.005503975,95.812332559,88.91473892200001,91.068693225,83.108952996,92.533381472,86.844717011,96.85015361200001,93.344738151,94.72071475,96.543720475,94.131407819,83.253215508,87.67228308700001,98.507057586,88.040698525,94.727147672,97.758980074,95.632558099,95.60851707799999,96.80466927399999,94.345238439,85.230980921,94.237449947,95.28729484799999,96.392270647,92.121339369,97.682997944,90.27869058600001,90.33427017,94.08017463600001,96.786759512,93.98062008299999,94.53517023100001
1999-07-31,96.532683885,96.717818291,92.639621025,96.170347972,84.112470089,87.473014586,90.48685042,92.522538034,90.175751079,92.725078763,93.171818907,97.625868179,92.132883361,96.636295707,95.707553746,95.759406695,95.37991252299999,96.211805988,89.69126760799999,91.762077585,84.457852996,93.282379733,87.957083125,97.26483519700001,94.023317619,95.502417707,96.726847417,94.70627407299999,84.171639961,88.86701602299999,98.794143781,89.361395806,95.207298146,98.18063589100001,96.193239554,96.310095439,97.063412929,95.01299072799999,86.016393264,94.824202627,95.733195854,96.918012562,92.65128134700001,97.89155612799999,91.31469853799999,90.82307077899999,94.444148787,96.96418993799999,94.654935736,95.01370814299999
1999-08-31,96.756867392,97.015241242,93.123448674,96.293427055,84.655420925,88.14059743,91.026892224,92.99325632899999,90.48206537799999,93.40458737600001,93.025302348,97.70440030600001,92.551502509,96.920323225,96.088293971,96.044768045,95.54364123100001,96.31673317799999,90.321624142,92.404475507,85.404388626,93.73976964299999,88.822728057,97.523017327,94.189445761,95.86207070200001,96.796883624,95.215831959,84.706520363,89.43257160299999,98.917804095,90.404292151,95.47177791700001,98.500168841,96.603773844,96.724215354,97.34509407,95.14980028299999,86.56205065,95.105868736,95.91434818799999,97.436097959,92.95107983700001,97.92242941,92.09795284299999,91.380993718,94.621557488,97.126844333,94.915448155,95.300893415
